Sea basin,Sea/waters,Beach/location,Country,Start_lat,Start_long,Litter source,% of total litter,Class,Reference
Mediterranean Sea,Ionian Sea,Ionian seabed,Greece,39.95758,19.42035,Aquaculture/fisheries,15.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Ionian Sea,Ionian seabed,Greece,39.95817,19.42148,Aquaculture/fisheries,15.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Ionian Sea,Ionian seabed,Greece,39.83292,19.56948,Aquaculture/fisheries,15.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Ionian Sea,Ionian seabed,Greece,39.83198,19.57039,Aquaculture/fisheries,15.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,44.10272,12.88498,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,44.23724,12.87402,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,44.21328,12.91174,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,44.16868,12.96077,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,44.30639,12.59383,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,44.39374,12.60332,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,44.44840,12.57731,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,44.11095,12.90798,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,44.09124,12.95209,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,44.08210,12.88744,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,44.13875,12.83058,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,44.16678,12.81037,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,44.17833,12.81497,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,44.15604,12.85006,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,44.10194,12.89883,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,44.18398,12.82376,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,44.17919,12.86866,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,44.15479,12.93428,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,45.45364,13.01142,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
